27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA
27/07/2020,122,FRA
28/07/2020,223,FRA
29/07/2020,442,FRA
27/07/2020,10,ITA
28/07/2020,11,ITA
29/07/2020,500,ITA
30/07/2020,300,FRA